"CheckID","Timestamp","Type","Category","CISControl","CISDescription","CheckName","Reason","ManualVerificationSteps","RiskIfNotChecked","Prerequisites","AlternativeEvidence","FollowUpRequired","AuditTarget"
"SKIP-20260116-4CCEE648","2026-01-16 02:59:52","Skipped","System Health","7.3","Ensure component monitoring active","Component Health Check","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control 7.3 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Component Health Check requirements.","","True","https://test.local"
"SKIP-20260116-FA779430","2026-01-16 02:59:52","Skipped","Master Policy","V1.1","Master Policy - Minimum validity period","Master Policy Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control V1.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Master Policy Audit requirements.","","True","https://test.local"
"SKIP-20260116-6E3C7DD0","2026-01-16 02:59:52","Skipped","PSM Configuration","V2.1","PSM - Session recording enabled","PSM Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control V2.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for PSM Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-19F12B7D","2026-01-16 02:59:52","Skipped","Account Discovery","V3.1","Account Discovery - Pending accounts reviewed","Account Discovery Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control V3.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Account Discovery Audit requirements.","","True","https://test.local"
"SKIP-20260116-3A1B8711","2026-01-16 02:59:52","Skipped","Privileged Threat Analytics","V4.1","PTA - Anomaly detection enabled","PTA Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control V4.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for PTA Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-96566DDD","2026-01-16 02:59:52","Skipped","Linked Accounts","V6.1","Linked Accounts - Logon accounts configured","Linked Accounts Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control V6.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Linked Accounts Audit requirements.","","True","https://test.local"
"SKIP-20260116-B5B8A3B5","2026-01-16 02:59:52","Skipped","CPM Configuration","V8.1","CPM - Service account permissions","CPM Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control V8.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for CPM Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-077C25A1","2026-01-16 02:59:52","NotApplicable","Host Security","HOST1","Windows firewall configuration","Windows Firewall Check","Not running on CyberArk server - requires local execution","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for Windows Firewall Check requirements.","","False","https://test.local"
"SKIP-20260116-922E8B79","2026-01-16 02:59:52","NotApplicable","Host Security","HOST2","Service account privileges","Service Account Check","Not running on CyberArk server - requires local execution","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for Service Account Check requirements.","","False","https://test.local"
"SKIP-20260116-FDF942AC","2026-01-16 02:59:52","NotApplicable","Host Security","HOST3","Credential caching","Credential Caching Check","Not running on CyberArk server - requires local execution","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for Credential Caching Check requirements.","","False","https://test.local"
"SKIP-20260116-057BAD12","2026-01-16 02:59:52","NotApplicable","Host Security","HOST4","Event log configuration","Event Log Configuration Check","Not running on CyberArk server - requires local execution","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for Event Log Configuration Check requirements.","","False","https://test.local"
"SKIP-20260116-107E7A62","2026-01-16 02:59:52","NotApplicable","Host Security","HOST5","Antivirus/EDR status","Antivirus/EDR Status Check","Not running on CyberArk server - requires local execution","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for Antivirus/EDR Status Check requirements.","","False","https://test.local"
"SKIP-20260116-8AAC4945","2026-01-16 02:59:52","Error","Server Hardening","HARD1","Unnecessary server roles","Unnecessary Server Roles","Error checking server roles: The term 'Get-WindowsFeature' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","Investigate the error condition, resolve any connectivity or permission issues, and re-run the audit.","Unable to assess security posture for this control. Potential security gap until manually verified.","Refer to CyberArk documentation for Unnecessary Server Roles requirements.","","True","https://test.local"
"SKIP-20260116-269E75DA","2026-01-16 02:59:52","Error","Server Hardening","HARD7","File system permissions","File System Permissions","Error checking file permissions: Attempted to perform an unauthorized operation.","Investigate the error condition, resolve any connectivity or permission issues, and re-run the audit.","Unable to assess security posture for this control. Potential security gap until manually verified.","Refer to CyberArk documentation for File System Permissions requirements.","","True","https://test.local"
"SKIP-20260116-2D51A586","2026-01-16 02:59:52","NotApplicable","Vault Hardening","VAULT1","NIC hardening","Vault Hardening Checks","Not a Vault server - checks not applicable","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for Vault Hardening Checks requirements.","","False","https://test.local"
"SKIP-20260116-151D5FB6","2026-01-16 02:59:52","NotApplicable","PSM Hardening","PSMH1","PSM user configuration","PSM Hardening Checks","Not a PSM server - checks not applicable","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for PSM Hardening Checks requirements.","","False","https://test.local"
"SKIP-20260116-BB56ADEE","2026-01-16 02:59:52","NotApplicable","PVWA Hardening","PVWAH1","IIS registry shares","PVWA Hardening Checks","Not a PVWA server - checks not applicable","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for PVWA Hardening Checks requirements.","","False","https://test.local"
"SKIP-20260116-AC45D2A3","2026-01-16 02:59:52","NotApplicable","CPM Hardening","CPMH1","FIPS cryptography","CPM Hardening Checks","Not a CPM server - checks not applicable","No manual verification required - this check is not applicable to the current environment configuration.","No risk - check is not applicable to this environment.","Refer to CyberArk documentation for CPM Hardening Checks requirements.","","False","https://test.local"
